District Name,Market Name,Variety,Price Date,Price Date,Modal Price (Rs./Quintal)
Sangli,Aatpadi,Varalaxmi,Sep,2017,5500
Gadchiroli,Aheri,Desi,Jan,2017,4800
Gadchiroli,Aheri,Desi,Jan,2017,4800
Gadchiroli,Aheri,Other,Nov,2017,4500
Gadchiroli,Aheri,Desi,Jan,2017,4800
Gadchiroli,Aheri,Desi,Feb,2017,4800
Gadchiroli,Aheri,Desi,Jan,2017,5000
Gadchiroli,Aheri,Desi,Feb,2017,4800
Gadchiroli,Aheri,Desi,Jan,2017,4800
Gadchiroli,Aheri,Other,Nov,2017,4500
Gadchiroli,Aheri,Desi,Jan,2017,4800
Gadchiroli,Aheri,Other,Nov,2017,4500
Gadchiroli,Aheri,Desi,Jan,2018,4500
Gadchiroli,Aheri,Desi,Feb,2017,4800
Gadchiroli,Aheri,Other,Nov,2017,4500
Gadchiroli,Aheri,Desi,Feb,2017,4800
Gadchiroli,Aheri,Desi,Mar,2017,5000
Gadchiroli,Aheri,Desi,Feb,2018,4500
Gadchiroli,Aheri,Desi,Nov,2017,4500
Gadchiroli,Aheri,Desi,Jan,2018,4500
Gadchiroli,Aheri,Desi,Feb,2018,4500
Gadchiroli,Aheri,Desi,Jan,2018,4500
Gadchiroli,Aheri,Desi,Jan,2017,4800
Gadchiroli,Aheri,Desi,Nov,2017,4350
Gadchiroli,Aheri,Other,Nov,2017,4500
Gadchiroli,Aheri,Desi,Jan,2017,4800
Gadchiroli,Aheri,Desi,Mar,2017,4900
Gadchiroli,Aheri,Desi,Jan,2018,4500
Gadchiroli,Aheri,Desi,Jan,2017,4800
Gadchiroli,Aheri,Desi,Feb,2017,4800
Gadchiroli,Aheri,Desi,Jan,2017,4800
Gadchiroli,Aheri,Desi,Feb,2017,5200
Gadchiroli,Aheri,Desi,Feb,2017,4800
Gadchiroli,Aheri,Desi,Jan,2017,4800
Gadchiroli,Aheri,Desi,Nov,2017,4350
Gadchiroli,Aheri,Desi,Jan,2017,4800
Gadchiroli,Aheri,Desi,Feb,2017,4800
Gadchiroli,Aheri,H-4(A) 27mm FIne,Jan,2018,4500
Gadchiroli,Aheri,Desi,Jan,2017,4800
Gadchiroli,Aheri,Desi,Feb,2017,4800
Gadchiroli,Aheri,Desi,Jan,2017,4600
Gadchiroli,Aheri,Desi,Feb,2018,4500
Gadchiroli,Aheri,Desi,Feb,2017,4800
Gadchiroli,Aheri,Desi,Jan,2017,4750
Gadchiroli,Aheri,Desi,Feb,2018,4500
Gadchiroli,Aheri,Desi,Feb,2017,4800
Gadchiroli,Aheri,Desi,Feb,2017,4900
Gadchiroli,Aheri,Desi,Jan,2017,4600
Gadchiroli,Aheri,Desi,Feb,2017,4800
Gadchiroli,Aheri,Desi,Jan,2017,4550
Gadchiroli,Aheri,Desi,Feb,2018,4500
Gadchiroli,Aheri,Desi,Feb,2017,4800
Gadchiroli,Aheri,Desi,Jan,2018,4500
Gadchiroli,Aheri,Desi,Mar,2017,4800
Gadchiroli,Aheri,Desi,Feb,2017,4900
Gadchiroli,Aheri,Desi,Jan,2017,4500
Gadchiroli,Aheri,Desi,Feb,2017,4800
Gadchiroli,Aheri,Desi,Jan,2018,4500
Gadchiroli,Aheri,Desi,Feb,2017,4800
Gadchiroli,Aheri,Desi,Mar,2017,4800
Gadchiroli,Aheri,Desi,Jan,2018,4500
Hingoli,Akhadabalapur,Desi,Nov,2017,4305
Hingoli,Akhadabalapur,Desi,Mar,2017,5450
Hingoli,Akhadabalapur,Desi,Jan,2017,5550
Hingoli,Akhadabalapur,Desi,Nov,2017,4300
Hingoli,Akhadabalapur,Desi,Mar,2017,5550
Hingoli,Akhadabalapur,Desi,Dec,2017,5250
Hingoli,Akhadabalapur,Desi,Nov,2017,4325
Hingoli,Akhadabalapur,Desi,Jan,2017,5550
Hingoli,Akhadabalapur,Desi,Apr,2017,5100
Hingoli,Akhadabalapur,Desi,Nov,2017,4250
Hingoli,Akhadabalapur,Desi,Feb,2017,5450
Hingoli,Akhadabalapur,Desi,Nov,2017,4250
Hingoli,Akhadabalapur,Desi,Mar,2017,5450
Hingoli,Akhadabalapur,Desi,Apr,2017,5100
Hingoli,Akhadabalapur,Desi,Nov,2017,4200
Hingoli,Akhadabalapur,Desi,Mar,2017,5450
Hingoli,Akhadabalapur,Desi,Feb,2018,4750
Hingoli,Akhadabalapur,Desi,Nov,2017,4150
Hingoli,Akhadabalapur,Desi,Jan,2017,5500
Hingoli,Akhadabalapur,Desi,Feb,2018,4700
Hingoli,Akhadabalapur,Desi,Nov,2017,4175
Hingoli,Akhadabalapur,Desi,Mar,2017,5550
Hingoli,Akhadabalapur,Desi,Feb,2018,4400
Hingoli,Akhadabalapur,Desi,Nov,2017,4200
Hingoli,Akhadabalapur,Desi,Feb,2018,5000
Hingoli,Akhadabalapur,Desi,Feb,2017,5450
Hingoli,Akhadabalapur,Desi,Dec,2017,4750
Hingoli,Akhadabalapur,Desi,Apr,2017,5150
